Kategorie: Všechny kategorie

Měsíc,rest api: (Celosvětově)
2004-06,0
2004-07,0
2004-08,0
2004-09,1
2004-10,0
2004-11,1
2004-12,1
2005-01,1
2005-02,2
2005-03,1
2005-04,1
2005-05,1
2005-06,0
2005-07,1
2005-08,0
2005-09,1
2005-10,1
2005-11,1
2005-12,2
2006-01,2
2006-02,1
2006-03,1
2006-04,2
2006-05,2
2006-06,1
2006-07,1
2006-08,1
2006-09,1
2006-10,2
2006-11,1
2006-12,2
2007-01,2
2007-02,2
2007-03,2
2007-04,2
2007-05,3
2007-06,3
2007-07,2
2007-08,2
2007-09,2
2007-10,2
2007-11,2
2007-12,2
2008-01,3
2008-02,3
2008-03,5
2008-04,3
2008-05,3
2008-06,3
2008-07,4
2008-08,3
2008-09,4
2008-10,4
2008-11,4
2008-12,3
2009-01,4
2009-02,4
2009-03,5
2009-04,5
2009-05,5
2009-06,4
2009-07,6
2009-08,4
2009-09,5
2009-10,5
2009-11,6
2009-12,6
2010-01,5
2010-02,5
2010-03,6
2010-04,7
2010-05,6
2010-06,7
2010-07,8
2010-08,7
2010-09,7
2010-10,8
2010-11,7
2010-12,7
2011-01,8
2011-02,9
2011-03,8
2011-04,9
2011-05,9
2011-06,10
2011-07,9
2011-08,10
2011-09,11
2011-10,11
2011-11,10
2011-12,10
2012-01,11
2012-02,14
2012-03,14
2012-04,15
2012-05,15
2012-06,15
2012-07,15
2012-08,15
2012-09,16
2012-10,16
2012-11,16
2012-12,15
2013-01,17
2013-02,18
2013-03,20
2013-04,21
2013-05,20
2013-06,25
2013-07,25
2013-08,23
2013-09,23
2013-10,26
2013-11,25
2013-12,24
2014-01,28
2014-02,31
2014-03,32
2014-04,33
2014-05,33
2014-06,33
2014-07,35
2014-08,33
2014-09,36
2014-10,36
2014-11,38
2014-12,34
2015-01,37
2015-02,43
2015-03,44
2015-04,47
2015-05,44
2015-06,48
2015-07,49
2015-08,46
2015-09,48
2015-10,49
2015-11,48
2015-12,48
2016-01,49
2016-02,56
2016-03,58
2016-04,59
2016-05,59
2016-06,63
2016-07,55
2016-08,57
2016-09,59
2016-10,60
2016-11,64
2016-12,59
2017-01,64
2017-02,80
2017-03,80
2017-04,72
2017-05,79
2017-06,78
2017-07,75
2017-08,79
2017-09,78
2017-10,78
2017-11,83
2017-12,70
2018-01,74
2018-02,84
2018-03,86
2018-04,84
2018-05,87
2018-06,88
2018-07,88
2018-08,88
2018-09,83
2018-10,87
2018-11,83
2018-12,73
2019-01,81
2019-02,89
2019-03,86
2019-04,89
2019-05,89
2019-06,93
2019-07,96
2019-08,91
2019-09,95
2019-10,95
2019-11,98
2019-12,80
2020-01,89
2020-02,100
2020-03,85
2020-04,87
